label	stage	budget	variant	status	pid	log_path
tworoom_rank_seed42_pct05_e1_pca-r64_e10	branch	pct05	pca-r64	running	312016	/workspace/stablewm/logs/tworoom_rank_ablation/tworoom_rank_seed42_pct05_e1_pca-r64_e10.log
tworoom_rank_seed42_pct05_e1_random-r128_e10	branch	pct05	random-r128	pending		/workspace/stablewm/logs/tworoom_rank_ablation/tworoom_rank_seed42_pct05_e1_random-r128_e10.log
tworoom_rank_seed42_pct05_e1_random-r64_e10	branch	pct05	random-r64	pending		/workspace/stablewm/logs/tworoom_rank_ablation/tworoom_rank_seed42_pct05_e1_random-r64_e10.log
tworoom_rank_seed42_pct05_pca-r128_e20	branch	pct05	pca-r128	running	304489	/workspace/stablewm/logs/tworoom_rank_ablation/tworoom_rank_seed42_pct05_pca-r128_e20.log
tworoom_rank_seed42_pct05_pca-r16_e20	branch	pct05	pca-r16	completed	13799	/workspace/stablewm/logs/tworoom_rank_ablation/tworoom_rank_seed42_pct05_pca-r16_e20.log
tworoom_rank_seed42_pct05_pca-r32_e20	branch	pct05	pca-r32	completed	13815	/workspace/stablewm/logs/tworoom_rank_ablation/tworoom_rank_seed42_pct05_pca-r32_e20.log
tworoom_rank_seed42_pct05_pca-r4_e20	branch	pct05	pca-r4	completed	13831	/workspace/stablewm/logs/tworoom_rank_ablation/tworoom_rank_seed42_pct05_pca-r4_e20.log
tworoom_rank_seed42_pct05_pca-r64_e20	branch	pct05	pca-r64	running	304490	/workspace/stablewm/logs/tworoom_rank_ablation/tworoom_rank_seed42_pct05_pca-r64_e20.log
tworoom_rank_seed42_pct05_pca-r8_e20	branch	pct05	pca-r8	completed	35353	/workspace/stablewm/logs/tworoom_rank_ablation/tworoom_rank_seed42_pct05_pca-r8_e20.log
tworoom_rank_seed42_pct05_random-r16_e20	branch	pct05	random-r16	completed	39513	/workspace/stablewm/logs/tworoom_rank_ablation/tworoom_rank_seed42_pct05_random-r16_e20.log
tworoom_rank_seed42_pct05_warmup	warmup	pct05		completed	3673	/workspace/stablewm/logs/tworoom_rank_ablation/tworoom_rank_seed42_pct05_warmup.log
tworoom_rank_seed42_pct05_warmup_e1	warmup	pct05		completed	304126	/workspace/stablewm/logs/tworoom_rank_ablation/tworoom_rank_seed42_pct05_warmup_e1.log
tworoom_rank_seed42_pct10_pca-r16_e20	branch	pct10	pca-r16	completed	41253	/workspace/stablewm/logs/tworoom_rank_ablation/tworoom_rank_seed42_pct10_pca-r16_e20.log
tworoom_rank_seed42_pct10_pca-r32_e20	branch	pct10	pca-r32	completed	41254	/workspace/stablewm/logs/tworoom_rank_ablation/tworoom_rank_seed42_pct10_pca-r32_e20.log
tworoom_rank_seed42_pct10_pca-r4_e20	branch	pct10	pca-r4	completed	68280	/workspace/stablewm/logs/tworoom_rank_ablation/tworoom_rank_seed42_pct10_pca-r4_e20.log
tworoom_rank_seed42_pct10_pca-r8_e20	branch	pct10	pca-r8	completed	71529	/workspace/stablewm/logs/tworoom_rank_ablation/tworoom_rank_seed42_pct10_pca-r8_e20.log
tworoom_rank_seed42_pct10_random-r16_e20	branch	pct10	random-r16	completed	78398	/workspace/stablewm/logs/tworoom_rank_ablation/tworoom_rank_seed42_pct10_random-r16_e20.log
tworoom_rank_seed42_pct10_warmup	warmup	pct10		completed	7830	/workspace/stablewm/logs/tworoom_rank_ablation/tworoom_rank_seed42_pct10_warmup.log
